"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"548","fd-39470853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39470853.html","clean","380","75  ","4","3"," 1","1970","31100","78","61"
"549","fd-39477764","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39477764.html","clean","462","24  ",NA,NA,NA,"1900","31000","30","20"
"550","fd-39636789","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39636789.html","clean","413","16  ",NA,"1"," 2",NA,"31300","32","30"
"551","fd-38739312","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38739312.html","clean","435","11  ",NA,NA,NA,NA,"31000","22","22"
"552","fd-24985230","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-24985230.html","clean","390","13  ",NA,NA,NA,NA,"31500","28","24"
"553","fd-36763947","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36763947.html","clean","475","18  ",NA,NA," 1",NA,"31400","08","20"
"554","fd-38737450","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38737450.html","clean","480","23  ",NA,NA," 2","1970","31000","75","11"
"555","fd-38819690","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38819690.html","clean","442","18  ",NA,NA,NA,"1988","31400","76","10"
"556","fd-39719454","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39719454.html","clean","489","22  ",NA,NA," 2","1983","31200","23","15"
"557","fd-39721295","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721295.html","clean","448","27  ",NA,NA," 2","1971","31400","28","53"
"558","fd-39714853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714853.html","clean","500","18  ",NA,NA,NA,"1985","31500",NA,NA
"559","fd-37987182","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37987182.html","clean","437","19  ",NA,NA,NA,"2000","31100","98","11"
"560","fd-39715289","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39715289.html","clean","470","19  ",NA,NA,NA,NA,"31300","65","13"
"561","fd-36094440","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36094440.html","clean","470","18  ",NA,NA," 1","1940","31500","16","13"
"562","fd-39296679","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39296679.html","clean","473","28  ",NA,NA,NA,"1989","31500","30","10"
"563","fd-39518977","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39518977.html","clean","490","27  ","2","1"," 1",NA,"31500",NA,NA
"564","fd-38849029","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38849029.html","clean","450","20  ",NA,NA," 1","1930","31400","12","10"
"565","fd-38054100","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38054100.html","clean","420","21  ",NA,NA," 1","1900","31300",NA,NA
